dataset,stutter_type,classifier,feature_type,f1_score,source,doi
sep28k,block,SVM,LTAS,0.5261,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,interjection,SVM,LTAS,0.6233,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,soundrep,SVM,LTAS,0.4785,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,wordrep,SVM,LTAS,0.5960,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,prolongation,SVM,LTAS,0.5964,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,block,SVM,CQT-LTAS,0.6331,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,interjection,SVM,CQT-LTAS,0.6624,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,soundrep,SVM,CQT-LTAS,0.6315,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,wordrep,SVM,CQT-LTAS,0.6885,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,prolongation,SVM,CQT-LTAS,0.6660,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,block,SVM,GT-LTAS,0.5396,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,interjection,SVM,GT-LTAS,0.6644,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,soundrep,SVM,GT-LTAS,0.4770,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,wordrep,SVM,GT-LTAS,0.6411,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,prolongation,SVM,GT-LTAS,0.6441,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,block,SVM,SFF-LTAS,0.5983,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,interjection,SVM,SFF-LTAS,0.6610,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,soundrep,SVM,SFF-LTAS,0.6025,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,wordrep,SVM,SFF-LTAS,0.6565,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,prolongation,SVM,SFF-LTAS,0.6460,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,block,SVM,MFCC,0.5580,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,interjection,SVM,MFCC,0.6025,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,soundrep,SVM,MFCC,0.5246,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,wordrep,SVM,MFCC,0.6089,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,prolongation,SVM,MFCC,0.6514,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,block,SVM,ZTWCC,0.5969,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,interjection,SVM,ZTWCC,0.6028,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,soundrep,SVM,ZTWCC,0.4893,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,wordrep,SVM,ZTWCC,0.6211,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,prolongation,SVM,ZTWCC,0.6532,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,block,LSTM,LTAS,0.6509,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,interjection,LSTM,LTAS,0.6799,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,soundrep,LSTM,LTAS,0.6370,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,wordrep,LSTM,LTAS,0.5732,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,prolongation,LSTM,LTAS,0.6279,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,block,LSTM,CQT-LTAS,0.7343,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,interjection,LSTM,CQT-LTAS,0.7607,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,soundrep,LSTM,CQT-LTAS,0.7696,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,wordrep,LSTM,CQT-LTAS,0.7287,[PAPER],10.1109/ICASSP49660.2025.10888625
